Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Mon,2026-09-14,20:00,Gaziantep,,Fenerbahçe,,Gaziantep Stadyumu,,Head-to-Head,
,,,,,,,,,,,
6,Fri,2026-09-18,20:00,Kasımpaşa,,Konyaspor,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
6,Sat,2026-09-19,17:00,Kocaelispor,,Gaziantep,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
6,Sat,2026-09-19,17:00,Yeni Çorumspor,,Alanyaspor,,Çorum Şehir Stadyumu,,Head-to-Head,
6,Sat,2026-09-19,20:00,Başakşehir,,Gençlerbirliği,,Başakşehir Fatih Terim Stadium,,Head-to-Head,
6,Sat,2026-09-19,20:00,Trabzonspor,,Galatasaray,,Papara Park Stadyumu,,Head-to-Head,
6,Sun,2026-09-20,17:00,Erzurum BB,,Samsunspor,,Kazım Karabekir Stadyumu,,Head-to-Head,
6,Sun,2026-09-20,17:00,Fenerbahçe,,Eyüpspor,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
6,Sun,2026-09-20,20:00,Göztepe,,Rizespor,,Gürsel Aksel Stadyumu,,Head-to-Head,
6,Sun,2026-09-20,20:00,Amedspor,,Beşiktaş,,Diyarbakır Yeni Stadyumu,,Head-to-Head,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,2026-10-11,,Eyüpspor,,Göztepe,,Necmi Kadıoğlu Stadyumu,,Head-to-Head,
7,Sun,2026-10-11,,Rizespor,,Fenerbahçe,,Çaykur Didi Stadyumu,,Head-to-Head,
7,Sun,2026-10-11,,Beşiktaş,,Kocaelispor,,Tüpraş Stadyumu,,Head-to-Head,
7,Sun,2026-10-11,,Alanyaspor,,Erzurum BB,,GAİN Park Stadyumu,,Head-to-Head,
7,Sun,2026-10-11,,Samsunspor,,Trabzonspor,,Yeni 19 Mayıs Stadyumu,,Head-to-Head,
7,Sun,2026-10-11,,Konyaspor,,Başakşehir,,Konya Büyükşehir Stadı,,Head-to-Head,
7,Sun,2026-10-11,,Gaziantep,,Yeni Çorumspor,,Gaziantep Stadyumu,,Head-to-Head,
